iter	RMSE
0	62.18503741
1	62.16565496
2	62.15078669
3	62.1219648
4	62.1012304
5	62.08615716
6	62.06837441
7	62.04799149
8	62.03155895
9	62.00937014
10	61.9911752
11	61.97290526
12	61.95495848
13	61.94402305
14	61.93134628
15	61.91833547
16	61.90477793
17	61.88335347
18	61.86520415
19	61.84440649
20	61.82495819
21	61.81303315
22	61.79682938
23	61.77538927
24	61.75936594
25	61.74975177
26	61.7398844
27	61.72642785
28	61.7152792
29	61.6998752
30	61.68678914
31	61.66935886
32	61.6572495
33	61.64774494
34	61.62912243
35	61.60842983
36	61.59686155
37	61.58725511
38	61.57763811
39	61.56130449
40	61.54898124
41	61.53728904
42	61.52303925
43	61.51170222
44	61.49829161
45	61.48071795
46	61.46390549
47	61.45165979
48	61.43748283
49	61.42176805
50	61.41069957
51	61.39725661
52	61.38888692
53	61.37463405
54	61.35907173
55	61.35293041
56	61.34292975
57	61.32887937
58	61.31641843
59	61.29556689
60	61.28913866
61	61.27832275
62	61.26629209
63	61.25469705
64	61.24656
65	61.23215484
66	61.2171311
67	61.20895338
68	61.1956277
69	61.18190319
70	61.16989495
71	61.1532711
72	61.14521275
73	61.13374514
74	61.12092109
75	61.10711485
76	61.09773138
77	61.08895775
78	61.0851713
79	61.07026644
80	61.05258957
81	61.0355352
82	61.02358841
83	61.00456797
84	60.99927601
85	60.99012424
86	60.97956577
87	60.97080032
88	60.96042638
89	60.94350507
90	60.93407164
91	60.91677745
92	60.90355971
93	60.89206445
94	60.87776121
95	60.87017852
96	60.85777261
97	60.84880761
98	60.84067323
99	60.82877394
100	60.80889911
101	60.80016738
102	60.78523555
103	60.77472703
104	60.76233142
105	60.75711838
106	60.74527321
107	60.74112104
108	60.7276908
109	60.71445098
110	60.70490423
111	60.69380655
112	60.67582862
113	60.6663436
114	60.65925419
115	60.6528898
116	60.64444355
117	60.62527679
118	60.61290219
119	60.59419603
120	60.57532192
121	60.56700065
122	60.55174723
123	60.54142837
124	60.52096899
125	60.51340769
126	60.50106222
127	60.48803123
128	60.47356444
129	60.45995245
130	60.44108703
131	60.43055482
132	60.42008742
133	60.41550697
134	60.40590221
135	60.39854662
136	60.38889717
137	60.37660278
138	60.36549113
139	60.35722011
140	60.3346403
141	60.32869675
142	60.32559557
143	60.3113972
144	60.30243487
145	60.29141416
146	60.27717224
147	60.26608855
148	60.25264666
149	60.24039736
150	60.22776555
151	60.21262267
152	60.19842484
153	60.18894366
154	60.17848766
155	60.16857478
156	60.15392469
157	60.14446883
158	60.13616457
159	60.1253696
160	60.11927386
161	60.1045495
162	60.1009267
163	60.0961905
164	60.0891492
165	60.08128979
166	60.06835203
167	60.05703012
168	60.04795036
169	60.04315098
170	60.0380108
171	60.02904205
172	60.01913383
173	60.00590436
174	60.00046121
175	59.99064
176	59.98553683
177	59.97502245
178	59.96347151
179	59.95561772
180	59.94083184
181	59.92791714
182	59.91066107
183	59.90158177
184	59.88634073
185	59.86845312
186	59.8497699
187	59.84375399
188	59.83978442
189	59.81800073
190	59.80641978
191	59.80125662
192	59.79443507
193	59.78036862
194	59.77569969
195	59.77008936
196	59.76312265
197	59.75928486
198	59.75123153
199	59.74263377
200	59.73873436
201	59.72497642
202	59.71642503
203	59.70511314
204	59.70086266
205	59.69561899
206	59.68329763
207	59.67766981
208	59.66611637
209	59.65794252
210	59.63161517
211	59.6118259
212	59.60240732
213	59.59184996
214	59.58349565
215	59.57725114
216	59.56428374
217	59.55785935
218	59.54597454
219	59.53516632
220	59.52768404
221	59.52196103
222	59.51454397
223	59.50224197
224	59.49798378
225	59.48788378
226	59.47764104
227	59.46315025
228	59.45165404
229	59.44485551
230	59.43103438
231	59.42657437
232	59.41717432
233	59.40762982
234	59.39400509
235	59.3852913
236	59.3735043
237	59.3610641
238	59.35455873
239	59.34418783
240	59.3354193
241	59.32490949
242	59.31203182
243	59.30197174
244	59.29064757
245	59.27636339
246	59.26765518
247	59.25965538
248	59.25226123
249	59.23187115
250	59.22884671
251	59.22083681
252	59.20731621
253	59.20514844
254	59.18929079
255	59.18472237
256	59.17280881
257	59.16669279
258	59.16243647
259	59.14911823
260	59.13931467
261	59.13200889
262	59.11965582
263	59.11017825
264	59.10396649
265	59.09146954
266	59.0732731
267	59.0643247
268	59.05126528
269	59.0410926
270	59.02386784
271	59.01391511
272	59.0042733
273	58.99764808
274	58.98716023
275	58.96947852
276	58.962101
277	58.95166767
278	58.93907334
279	58.931354
280	58.91762559
281	58.90857245
282	58.89710531
283	58.88398462
284	58.87152965
285	58.85098687
286	58.84411722
287	58.83229681
288	58.81717077
289	58.80694337
290	58.79424534
291	58.78618867
292	58.77820188
293	58.766227
294	58.75812865
295	58.75056138
296	58.74692224
297	58.72962047
298	58.71797278
